model_type,activation,optimizer,seq_length,grad_clip,accuracy,f1_score,best_epoch,avg_epoch_time
lstm,tanh,adam,50,False,0.76308,0.7611573938321308,2,4.251046555382865
rnn,tanh,adam,50,False,0.72416,0.7240195387507176,9,2.3930575847625732
bilstm,tanh,adam,50,False,0.7692,0.7675693273907822,2,8.099146263939994
lstm,sigmoid,adam,50,False,0.77532,0.7752672546853161,3,4.117018759250641
lstm,relu,adam,50,False,0.69228,0.6893376603160425,4,4.019469181696574
lstm,tanh,sgd,50,False,0.52044,0.5009133132341562,2,4.095594780785697
lstm,tanh,rmsprop,50,False,0.78212,0.7821100429518988,5,3.990185809135437
lstm,tanh,adam,25,False,0.72852,0.7281900701488124,2,2.5057364872523715
lstm,tanh,adam,100,False,0.819,0.8187354915787313,5,7.332429218292236
lstm,tanh,adam,50,True,0.76436,0.7624785929346352,2,4.154469660350254
